,date,time,province,confirmed,released,deceased
81,2020-04-10,0,Seoul,595,185,2
82,2020-04-11,0,Seoul,599,195,2
83,2020-04-12,0,Seoul,602,202,2
84,2020-04-13,0,Seoul,610,214,2
85,2020-04-14,0,Seoul,612,228,2
86,2020-04-15,0,Seoul,617,239,2
87,2020-04-16,0,Seoul,619,250,2
88,2020-04-17,0,Seoul,621,268,2
89,2020-04-18,0,Seoul,622,274,2
90,2020-04-19,0,Seoul,624,288,2
91,2020-04-20,0,Seoul,624,304,2
92,2020-04-21,0,Seoul,626,315,2
93,2020-04-22,0,Seoul,628,322,2
94,2020-04-23,0,Seoul,628,342,2
95,2020-04-24,0,Seoul,628,362,2
96,2020-04-25,0,Seoul,629,383,2
97,2020-04-26,0,Seoul,629,388,2
98,2020-04-27,0,Seoul,629,393,2
99,2020-04-28,0,Seoul,633,427,2
100,2020-04-29,0,Seoul,633,437,2
101,2020-04-30,0,Seoul,633,453,2
102,2020-05-01,0,Seoul,634,455,2
103,2020-05-02,0,Seoul,635,463,2
104,2020-05-03,0,Seoul,637,473,2
105,2020-05-04,0,Seoul,637,481,2
106,2020-05-05,0,Seoul,637,489,2
107,2020-05-06,0,Seoul,637,494,2
108,2020-05-07,0,Seoul,637,508,2
109,2020-05-08,0,Seoul,637,520,2
110,2020-05-09,0,Seoul,649,536,2
111,2020-05-10,0,Seoul,663,541,2
112,2020-05-11,0,Seoul,683,545,2
113,2020-05-12,0,Seoul,695,554,2
114,2020-05-13,0,Seoul,707,558,3
115,2020-05-14,0,Seoul,711,564,4
116,2020-05-15,0,Seoul,725,569,4
117,2020-05-16,0,Seoul,730,574,4
118,2020-05-17,0,Seoul,735,575,4
119,2020-05-18,0,Seoul,736,579,4
120,2020-05-19,0,Seoul,742,587,4
121,2020-05-20,0,Seoul,752,592,4
122,2020-05-21,0,Seoul,756,596,4
123,2020-05-22,0,Seoul,758,599,4
124,2020-05-23,0,Seoul,762,604,4
125,2020-05-24,0,Seoul,768,604,4
126,2020-05-25,0,Seoul,774,607,4
127,2020-05-26,0,Seoul,783,614,4
128,2020-05-27,0,Seoul,802,618,4
129,2020-05-28,0,Seoul,826,621,4
130,2020-05-29,0,Seoul,846,623,4
131,2020-05-30,0,Seoul,855,627,4
132,2020-05-31,0,Seoul,861,627,4
